bulk_species_node [MG] at P @ dist356,bulk_species_node [MG] at Chlorine @ dist356,bulk_species_node [MG] at P @ dist399,bulk_species_node [MG] at Chlorine @ dist399,bulk_species_node [MG] at P @ dist485,bulk_species_node [MG] at Chlorine @ dist485,bulk_species_node [MG] at P @ dist606,bulk_species_node [MG] at Chlorine @ dist606,bulk_species_node [MG] at P @ dist1028,bulk_species_node [MG] at Chlorine @ dist1028,bulk_species_node [MG] at P @ dist1332,bulk_species_node [MG] at Chlorine @ dist1332,bulk_species_node [MG] at P @ dist1363,bulk_species_node [MG] at Chlorine @ dist1363,bulk_species_node [MG] at P @ dist1459,bulk_species_node [MG] at Chlorine @ dist1459,bulk_species_node [MG] at P @ dist1464,bulk_species_node [MG] at Chlorine @ dist1464,bulk_species_node [MG] at P @ dist1915,bulk_species_node [MG] at Chlorine @ dist1915
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8589675e-05,0.0,0.0,0.0,1.0694039e-05,0.0,2.6291057e-06,0.0,1.3016084e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9955975e-05,0.0,0.0,0.0,3.3321863e-05,0.0,1.0893483e-05,0.0,5.6478457e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8994043e-05,0.0,3.373678e-08,0.0,3.2662858e-05,0.0,1.1111893e-05,0.0,6.0115613e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0238176e-08,0.0,5.9155278e-05,0.0,7.029292e-08,0.0,3.0534717e-05,0.0,9.55886e-06,0.0,4.822058e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0158525e-07,0.0,6.06666e-05,0.0,1.13139556e-07,0.0,2.9818788e-05,0.0,9.222158e-06,0.0,4.502898e-06,0.0,0.0
0.0,1.9718234e-06,0.0,6.3279165e-10,0.0,8.6069846e-08,0.0,9.410188e-07,0.0,6.0318856e-05,0.0,1.914773e-07,0.0,3.1282234e-05,0.0,1.01303e-05,0.0,5.26664e-06,0.0,0.0
0.0,6.9942175e-06,0.0,1.6427962e-09,0.0,2.8687606e-07,0.0,1.2399952e-06,0.0,5.9033835e-05,0.0,2.1090243e-07,0.0,3.1534808e-05,0.0,1.0629032e-05,0.0,5.5178602e-06,0.0,1.1607348e-11
0.0,6.5244535e-06,0.0,2.7191536e-09,0.0,3.323629e-07,0.0,1.1829255e-06,0.0,6.04818e-05,0.0,1.6824615e-07,0.0,2.988807e-05,0.0,9.250238e-06,0.0,4.669177e-06,0.0,7.763518e-11
0.0,6.057639e-06,0.0,2.3937217e-09,0.0,3.6831173e-07,0.0,1.0548267e-06,0.0,6.0053175e-05,0.0,1.3564915e-07,0.0,2.9360033e-05,0.0,8.5906595e-06,0.0,4.1530748e-06,0.0,1.0930903e-10
0.0,6.47383e-06,0.0,1.5780611e-09,0.0,4.2000892e-07,0.0,1.0920226e-06,0.0,6.0938408e-05,0.0,1.458314e-07,0.0,3.0026407e-05,0.0,8.685741e-06,0.0,4.2158654e-06,0.0,2.0244292e-10
0.0,6.633605e-06,0.0,1.9097643e-09,0.0,4.41059e-07,0.0,1.1449995e-06,0.0,6.219739e-05,0.0,1.5410359e-07,0.0,2.8762244e-05,0.0,8.427154e-06,0.0,4.0741243e-06,0.0,2.0328539e-10
0.0,6.272418e-06,0.0,2.5778542e-09,0.0,3.8778526e-07,0.0,9.9557e-07,0.0,6.1881445e-05,0.0,1.2043432e-07,0.0,2.8408567e-05,0.0,8.981664e-06,0.0,4.2148718e-06,0.0,2.0424115e-10
0.0,5.8594405e-06,0.0,2.0393733e-09,0.0,3.1876078e-07,0.0,8.652231e-07,0.0,6.274611e-05,0.0,9.0203535e-08,0.0,2.6666958e-05,0.0,7.664946e-06,0.0,3.4086713e-06,0.0,1.0666772e-10
0.0,6.0036014e-06,0.0,3.7621176e-10,0.0,2.7872025e-07,0.0,8.6190255e-07,0.0,6.228858e-05,0.0,8.605767e-08,0.0,2.7835214e-05,0.0,8.4713565e-06,0.0,3.88037e-06,0.0,1.1937855e-10
0.0,5.888714e-06,0.0,1.6636519e-09,0.0,2.9476192e-07,0.0,8.021737e-07,0.0,6.277819e-05,0.0,7.424184e-08,0.0,2.733014e-05,0.0,8.290413e-06,0.0,3.8206294e-06,0.0,1.3129538e-10
0.0,5.9554286e-06,0.0,2.01005e-09,0.0,3.399886e-07,0.0,7.943329e-07,0.0,6.2569765e-05,0.0,6.920424e-08,0.0,2.7715994e-05,0.0,8.170417e-06,0.0,3.659467e-06,0.0,8.497215e-09
0.0,5.9855506e-06,0.0,3.6777665e-09,0.0,3.1790802e-07,0.0,7.063118e-07,0.0,6.362124e-05,0.0,6.3317685e-08,0.0,2.6992868e-05,0.0,7.940959e-06,0.0,3.610055e-06,0.0,1.0883624e-08
0.0,4.9373384e-06,0.0,2.1758784e-09,0.0,2.4570483e-07,0.0,5.2292245e-07,0.0,6.168439e-05,0.0,4.7974684e-08,0.0,2.6287487e-05,0.0,7.543534e-06,0.0,3.2636462e-06,0.0,8.281762e-09
0.0,4.7999933e-06,0.0,2.5527442e-09,0.0,2.1705281e-07,0.0,4.0217347e-07,0.0,6.232106e-05,0.0,4.152011e-08,0.0,2.6052985e-05,0.0,7.3258434e-06,0.0,3.1660131e-06,0.0,7.5801205e-09
0.0,4.890679e-06,0.0,8.2075796e-10,0.0,2.0444347e-07,0.0,4.0261327e-07,0.0,6.240016e-05,0.0,3.9690097e-08,0.0,2.6482832e-05,0.0,7.4887193e-06,0.0,3.1893242e-06,0.0,6.98568e-09
0.0,4.460682e-06,0.0,3.4501052e-10,0.0,1.6093621e-07,0.0,3.7705496e-07,0.0,6.0966056e-05,0.0,3.3338413e-08,0.0,2.678028e-05,0.0,7.569377e-06,0.0,3.253984e-06,0.0,6.9595036e-09
0.0,4.4524495e-06,0.0,2.5614913e-10,0.0,1.6345656e-07,0.0,3.373045e-07,0.0,6.236086e-05,0.0,3.0368277e-08,0.0,2.5373924e-05,0.0,6.9267903e-06,0.0,2.936087e-06,0.0,6.4361263e-09
0.0,4.042265e-06,0.0,2.8799016e-10,0.0,1.3218568e-07,0.0,2.4872426e-07,0.0,6.292853e-05,0.0,2.3036668e-08,0.0,2.3049506e-05,0.0,6.020287e-06,0.0,2.3459127e-06,0.0,4.462106e-09
0.0,4.113997e-06,0.0,3.3169378e-10,0.0,1.3772429e-07,0.0,2.69037e-07,0.0,6.1902865e-05,0.0,2.2748075e-08,0.0,2.447387e-05,0.0,6.412088e-06,0.0,2.577453e-06,0.0,4.549563e-09
0.0,4.185869e-06,0.0,1.946586e-10,0.0,1.2015887e-07,0.0,2.6713434e-07,0.0,6.1859246e-05,0.0,2.1746501e-08,0.0,2.5094294e-05,0.0,6.4487676e-06,0.0,2.6182665e-06,0.0,4.1988653e-09
0.0,4.2995644e-06,0.0,5.4309175e-11,0.0,1.18014135e-07,0.0,2.3147113e-07,0.0,6.191665e-05,0.0,2.0953154e-08,0.0,2.553101e-05,0.0,6.5169834e-06,0.0,2.5332365e-06,0.0,3.5374947e-09
0.0,3.897057e-06,0.0,2.3498944e-10,0.0,9.876011e-08,0.0,2.3100911e-07,0.0,6.2018065e-05,0.0,1.610211e-08,0.0,2.3707391e-05,0.0,6.165919e-06,0.0,2.401534e-06,0.0,3.3917202e-09
0.0,3.8531007e-06,0.0,3.004912e-10,0.0,1.086077e-07,0.0,1.8753114e-07,0.0,6.1893246e-05,0.0,1.19321335e-08,0.0,2.4203819e-05,0.0,6.2076397e-06,0.0,2.5040106e-06,0.0,3.814621e-09
0.0,4.3511377e-06,0.0,2.1535333e-10,0.0,1.14419734e-07,0.0,2.5846725e-07,0.0,6.3401865e-05,0.0,1.6485998e-08,0.0,2.4477844e-05,0.0,6.311567e-06,0.0,2.6019488e-06,0.0,4.370616e-09
0.0,4.103363e-06,0.0,1.04294295e-10,0.0,7.400601e-08,0.0,1.9956519e-07,0.0,6.367384e-05,0.0,1.5104431e-08,0.0,2.3135588e-05,0.0,5.591063e-06,0.0,2.198136e-06,0.0,3.2486094e-09
0.0,4.5969464e-06,0.0,1.9883759e-10,0.0,9.592744e-08,0.0,3.0822073e-07,0.0,6.4273176e-05,0.0,1.7596522e-08,0.0,2.3810333e-05,0.0,6.1604856e-06,0.0,2.402056e-06,0.0,3.4224805e-09
